"Sample","DropVariable","TrainingVariableSet","TrainingEvents","AddVariable","BackgroundSample","FlattenBy","Performance","BDTLeafMinFraction","VariableTransform","ExtraFlags","BDTrainingTreeDepth","JobId"
"400pi100lt5mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.484637214371983","1","","","40","518"
"600pi50lt5mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.379647555865559","1","","","40","518"
"600pi50lt9mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.385459533606946","1","","","40","518"
"600pi150lt5mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.64197111823973","1","","","40","518"
"1000pi50lt5mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.377004699628166","1","","","40","518"
"1000pi50lt9mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.386579639157885","1","","","40","518"
"1000pi150lt9mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.649933098766469","1","","","40","518"
"1000pi150lt5mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.642295511170555","1","","","40","518"
"1000pi400lt9mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.835264483627087","1","","","40","518"
"1000pi400lt5mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.831356092987777","1","","","40","518"
"1000pi400lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.77925745790856","1","","","40","518"
"1000pi50lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.732005935029744","1","","","40","518"
"600pi50lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.573377414836216","1","","","40","518"
"200pi50lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.220165670703969","1","","","40","518"
"400pi50lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.389607928167822","1","","","40","518"
"600pi150lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.627310619787644","1","","","40","518"
"400pi100lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.450784921854504","1","","","40","518"
"200pi25lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.160188167104617","1","","","40","518"
"200pi8lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.134750347312624","1","","","40","518"
"TestingSignalEvents","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.508658610797183","1","","","40","518"
"TrainingSignalEvents","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.508658610797183","1","","","40","518"
"200pi25lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.1533457496342","1","","","30","524"
"400pi100lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.482237330036336","1","","","30","524"
