Sample Name,Filter Efficiency,Cross Section nb,Events Generated,Source,Nick Name,Tags,Proper Lifetime [m]
data15_13TeV:data15_13TeV.00279984.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00279984,data15,
data15_13TeV:data15_13TeV.00280231.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00280231,data15,
data15_13TeV:data15_13TeV.00280273.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00280273,data15,
data15_13TeV:data15_13TeV.00280319.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00280319,data15,
data15_13TeV:data15_13TeV.00280368.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00280368,data15,
data15_13TeV:data15_13TeV.00280423.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00280423,data15,
data15_13TeV:data15_13TeV.00280464.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00280464,data15,
data15_13TeV:data15_13TeV.00280500.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00280500,data15,
data15_13TeV:data15_13TeV.00280520.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00280520,data15,
data15_13TeV:data15_13TeV.00280614.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00280614,data15,
data15_13TeV:data15_13TeV.00280673.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00280673,data15,
data15_13TeV:data15_13TeV.00280753.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00280753,data15,
data15_13TeV:data15_13TeV.00280853.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00280853,data15,
data15_13TeV:data15_13TeV.00280862.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00280862,data15,
data15_13TeV:data15_13TeV.00280950.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00280950,data15,
data15_13TeV:data15_13TeV.00280977.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00280977,data15,
data15_13TeV:data15_13TeV.00281070.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00281070,data15,
data15_13TeV:data15_13TeV.00281074.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00281074,data15,
data15_13TeV:data15_13TeV.00281075.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00281075,data15,
data15_13TeV:data15_13TeV.00281317.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00281317,data15,
data15_13TeV:data15_13TeV.00281385.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00281385,data15,
data15_13TeV:data15_13TeV.00281411.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00281411,data15,
data15_13TeV:data15_13TeV.00282625.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00282625,data15,
data15_13TeV:data15_13TeV.00282631.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00282631,data15,
data15_13TeV:data15_13TeV.00282712.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00282712,data15,
data15_13TeV:data15_13TeV.00282784.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00282784,data15,
data15_13TeV:data15_13TeV.00282992.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00282992,data15,
data15_13TeV:data15_13TeV.00283074.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00283074,data15,
data15_13TeV:data15_13TeV.00283155.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00283155,data15,
data15_13TeV:data15_13TeV.00283270.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00283270,data15,
data15_13TeV:data15_13TeV.00283429.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00283429,data15,
data15_13TeV:data15_13TeV.00283608.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00283608,data15,
data15_13TeV:data15_13TeV.00283780.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00283780,data15,
